;Russian;English

%EnterPIN%;введите ПИН-код;enter PIN number
%ConfirmPIN%;введите ПИН-код еще раз;please confirm PIN number
%WrongPIN%;неверный ПИН-код, повторите попытку;wrong PIN number, try again
